Code,Reg,Dep,PopulationTotal,Level
77411,11,77,537.0,Municipality
77412,11,77,366.0,Municipality
77413,11,77,3664.0,Municipality
77414,11,77,473.0,Municipality
77415,11,77,1272.0,Municipality
77416,11,77,240.000000000001,Municipality
77417,11,77,260.999999999999,Municipality
77418,11,77,882.000000000003,Municipality
77419,11,77,3347.0,Municipality
77420,11,77,3857.0,Municipality
77421,11,77,283.0,Municipality
77423,11,77,649.999999999999,Municipality
77424,11,77,287.0,Municipality
77425,11,77,751.0,Municipality
77426,11,77,344.0,Municipality
77427,11,77,612.999999999997,Municipality
77428,11,77,836.000000000001,Municipality
77429,11,77,536.0,Municipality
77430,11,77,6054.99999999998,Municipality
77431,11,77,5483.0,Municipality
77432,11,77,983.0,Municipality
77433,11,77,2015.0,Municipality
77434,11,77,359.0,Municipality
77435,11,77,1122.0,Municipality
77436,11,77,895.999999999996,Municipality
77437,11,77,3242.99999999999,Municipality
77438,11,77,6447.00000000003,Municipality
77439,11,77,1102.0,Municipality
77440,11,77,1125.0,Municipality
77441,11,77,2053.0,Municipality
77442,11,77,2308.0,Municipality
77443,11,77,383.0,Municipality
77444,11,77,321.000000000001,Municipality
77445,11,77,29984.0,Municipality
77446,11,77,606.0,Municipality
77447,11,77,1888.0,Municipality
77448,11,77,499.999999999999,Municipality
77449,11,77,9040.0,Municipality
77450,11,77,3251.0,Municipality
77451,11,77,584.0,Municipality
77452,11,77,57.0,Municipality
77453,11,77,1214.0,Municipality
77454,11,77,394.000000000001,Municipality
77455,11,77,1957.0,Municipality
77456,11,77,820.000000000002,Municipality
77457,11,77,1211.0,Municipality
77458,11,77,5390.0,Municipality
77459,11,77,1484.0,Municipality
77460,11,77,356.999999999999,Municipality
77461,11,77,291.0,Municipality
77462,11,77,913.000000000003,Municipality
77463,11,77,3467.00000000001,Municipality
77464,11,77,10154.0,Municipality
77465,11,77,673.000000000001,Municipality
77466,11,77,381.0,Municipality
77467,11,77,223.999999999999,Municipality
77468,11,77,22568.0,Municipality
77469,11,77,1206.0,Municipality
77470,11,77,8718.00000000001,Municipality
77471,11,77,391.0,Municipality
77472,11,77,493.0,Municipality
77473,11,77,425.0,Municipality
77474,11,77,662.0,Municipality
77475,11,77,5033.0,Municipality
77476,11,77,239.0,Municipality
77477,11,77,847.0,Municipality
77478,11,77,1067.0,Municipality
77479,11,77,13327.0,Municipality
77480,11,77,966.0,Municipality
77481,11,77,183.000000000001,Municipality
77482,11,77,3469.0,Municipality
77483,11,77,2004.0,Municipality
77484,11,77,256.0,Municipality
77485,11,77,739.000000000001,Municipality
77486,11,77,901.999999999998,Municipality
77487,11,77,11062.0,Municipality
77489,11,77,226.0,Municipality
77490,11,77,729.999999999997,Municipality
77492,11,77,689.999999999999,Municipality
77493,11,77,3237.0,Municipality
77494,11,77,2672.99999999999,Municipality
77495,11,77,7610.0,Municipality
77496,11,77,190.000000000001,Municipality
77498,11,77,309.0,Municipality
77500,11,77,479.0,Municipality
77501,11,77,718.999999999999,Municipality
77504,11,77,1110.0,Municipality
77505,11,77,404.999999999999,Municipality
77506,11,77,742.0,Municipality
77507,11,77,426.0,Municipality
77508,11,77,1850.0,Municipality
77509,11,77,612.0,Municipality
77510,11,77,924.0,Municipality
77511,11,77,641.0,Municipality
77512,11,77,1131.0,Municipality
77513,11,77,4903.0,Municipality
77514,11,77,26322.0,Municipality
77515,11,77,720.999999999998,Municipality
77516,11,77,814.0,Municipality
77517,11,77,2122.0,Municipality
77518,11,77,211.0,Municipality
77519,11,77,1231.0,Municipality
77520,11,77,681.000000000003,Municipality
77521,11,77,1926.0,Municipality
77522,11,77,300.0,Municipality
77523,11,77,265.0,Municipality
77524,11,77,521.0,Municipality
77525,11,77,379.0,Municipality
77526,11,77,289.0,Municipality
77527,11,77,595.999999999999,Municipality
77528,11,77,1133.0,Municipality
77529,11,77,1521.99999999999,Municipality
77530,11,77,317.0,Municipality
77531,11,77,1729.0,Municipality
77532,11,77,64.0,Municipality
77533,11,77,2722.0,Municipality
77534,11,77,959.999999999998,Municipality
78003,11,78,3439.0,Municipality
78005,11,78,21017.0,Municipality
78006,11,78,731.000000000003,Municipality
78007,11,78,1084.0,Municipality
78009,11,78,306.0,Municipality
78010,11,78,1201.0,Municipality
78013,11,78,476.0,Municipality
78015,11,78,13324.0,Municipality
78020,11,78,938.000000000002,Municipality
78029,11,78,11817.0,Municipality
78030,11,78,1982.00000000001,Municipality
78031,11,78,650.000000000002,Municipality
78033,11,78,1140.0,Municipality
78034,11,78,955.0,Municipality
78036,11,78,509.0,Municipality
78043,11,78,3721.00000000001,Municipality
78048,11,78,1454.0,Municipality
78049,11,78,1582.0,Municipality
78050,11,78,621.0,Municipality
78053,11,78,460.000000000001,Municipality
78057,11,78,1897.0,Municipality
78062,11,78,7661.99999999999,Municipality
78068,11,78,889.0,Municipality
78070,11,78,292.0,Municipality
78071,11,78,608.0,Municipality
78072,11,78,291.0,Municipality
78073,11,78,15142.0,Municipality
78076,11,78,266.0,Municipality
78077,11,78,764.999999999998,Municipality
78082,11,78,614.0,Municipality
78084,11,78,646.000000000002,Municipality
78087,11,78,1963.0,Municipality
78089,11,78,4612.0,Municipality
78090,11,78,2156.0,Municipality
78092,11,78,8699.0,Municipality
78096,11,78,495.999999999999,Municipality
78104,11,78,735.0,Municipality
78107,11,78,1820.00000000001,Municipality
78108,11,78,1244.0,Municipality
78113,11,78,691.0,Municipality
78117,11,78,5820.99999999999,Municipality
78118,11,78,3133.0,Municipality
78120,11,78,1914.0,Municipality
78123,11,78,16212.0,Municipality
78124,11,78,14967.0,Municipality
78125,11,78,834.0,Municipality
78126,11,78,20966.0,Municipality
78128,11,78,1577.0,Municipality
78133,11,78,5633.99999999999,Municipality
78138,11,78,10374.0,Municipality
78140,11,78,1314.0,Municipality
78143,11,78,1394.0,Municipality
78146,11,78,30253.0,Municipality
78147,11,78,471.0,Municipality
78152,11,78,1815.0,Municipality
78158,11,78,31164.0,Municipality
78160,11,78,5678.00000000001,Municipality
78162,11,78,555.999999999998,Municipality
78163,11,78,335.0,Municipality
78164,11,78,826.999999999999,Municipality
78165,11,78,17636.0,Municipality
78168,11,78,4394.0,Municipality
78171,11,78,1205.0,Municipality
78172,11,78,35846.0,Municipality
78185,11,78,374.0,Municipality
78188,11,78,438.000000000002,Municipality
78189,11,78,1612.0,Municipality
78190,11,78,9701.0,Municipality
78192,11,78,1264.0,Municipality
78193,11,78,1037.0,Municipality
78194,11,78,194.0,Municipality
78196,11,78,304.0,Municipality
78202,11,78,562.000000000001,Municipality
78206,11,78,4259.00000000002,Municipality
78208,11,78,25400.0,Municipality
78209,11,78,880.0,Municipality
78217,11,78,6502.99999999997,Municipality
78220,11,78,6708.00000000001,Municipality
78224,11,78,4437.0,Municipality
78227,11,78,786.999999999999,Municipality
78230,11,78,586.0,Municipality
78231,11,78,143.0,Municipality
78233,11,78,2874.0,Municipality
78234,11,78,166.0,Municipality
78236,11,78,590.0,Municipality
78237,11,78,156.0,Municipality
78238,11,78,2410.0,Municipality
78239,11,78,2139.0,Municipality
78242,11,78,13503.0,Municipality
78245,11,78,362.0,Municipality
78246,11,78,981.999999999997,Municipality
78255,11,78,4410.99999999999,Municipality
78261,11,78,676.999999999997,Municipality
78262,11,78,1212.0,Municipality
78263,11,78,2463.0,Municipality
78264,11,78,61.9999999999998,Municipality
78265,11,78,2348.0,Municipality
78267,11,78,7466.99999999998,Municipality
78269,11,78,1280.0,Municipality
78276,11,78,674.0,Municipality
78278,11,78,511.000000000001,Municipality
78281,11,78,622.0,Municipality
78283,11,78,325.000000000001,Municipality
78285,11,78,545.0,Municipality
78289,11,78,915.0,Municipality
78290,11,78,1084.0,Municipality
78291,11,78,2144.0,Municipality
78296,11,78,615.0,Municipality
78297,11,78,28633.0,Municipality
78299,11,78,2289.0,Municipality
78300,11,78,445.999999999998,Municipality
78302,11,78,174.0,Municipality
78305,11,78,247.0,Municipality
78307,11,78,956.000000000003,Municipality
78310,11,78,3640.0,Municipality
78311,11,78,32151.0,Municipality
78314,11,78,4100.0,Municipality
78317,11,78,835.000000000003,Municipality
78320,11,78,652.0,Municipality
78321,11,78,5658.0,Municipality
78322,11,78,8191.0,Municipality
78324,11,78,555.0,Municipality
78325,11,78,609.0,Municipality
78327,11,78,3820.0,Municipality
78329,11,78,788.0,Municipality
78334,11,78,1604.0,Municipality
78335,11,78,16820.0,Municipality
78337,11,78,1942.0,Municipality
78343,11,78,1564.0,Municipality
78344,11,78,670.999999999999,Municipality
78346,11,78,1448.0,Municipality
78349,11,78,502.0,Municipality
78350,11,78,7098.99999999999,Municipality
78354,11,78,6030.0,Municipality
78356,11,78,9326.99999999999,Municipality
78358,11,78,23669.0,Municipality
78361,11,78,44299.0,Municipality
78362,11,78,20452.0,Municipality
78364,11,78,762.0,Municipality
78366,11,78,377.0,Municipality
78367,11,78,3448.0,Municipality
78368,11,78,1706.0,Municipality
78372,11,78,16192.0,Municipality
78380,11,78,5853.99999999999,Municipality
78381,11,78,971.999999999998,Municipality
78382,11,78,4357.99999999999,Municipality
78383,11,78,18281.0,Municipality
78384,11,78,1375.0,Municipality
78385,11,78,210.0,Municipality
78389,11,78,1677.0,Municipality
78391,11,78,422.0,Municipality
78396,11,78,6292.0,Municipality
78397,11,78,6789.0,Municipality
78398,11,78,857.0,Municipality
78401,11,78,8990.0,Municipality
78402,11,78,3676.0,Municipality
78403,11,78,2197.0,Municipality
78404,11,78,258.0,Municipality
78406,11,78,289.0,Municipality
78407,11,78,607.0,Municipality
78410,11,78,977.000000000002,Municipality
78413,11,78,406.0,Municipality
78415,11,78,506.0,Municipality
78416,11,78,315.0,Municipality
78417,11,78,285.0,Municipality
78418,11,78,15019.0,Municipality
78420,11,78,2940.00000000001,Municipality
78423,11,78,32929.0,Municipality
78431,11,78,2930.0,Municipality
78437,11,78,681.999999999999,Municipality
78439,11,78,110.0,Municipality
78440,11,78,32792.0,Municipality
78442,11,78,3373.0,Municipality
