Code,Reg,Dep,PopulationTotal,Level
02373,32,02,208.0,Municipality
02374,32,02,877.0,Municipality
02375,32,02,167.000000000001,Municipality
02376,32,02,166.0,Municipality
02377,32,02,144.0,Municipality
02378,32,02,143.0,Municipality
02379,32,02,230.0,Municipality
02380,32,02,25.0,Municipality
02381,32,02,8813.0,Municipality
02382,32,02,1387.0,Municipality
02383,32,02,1464.0,Municipality
02384,32,02,53.0,Municipality
02385,32,02,149.0,Municipality
02386,32,02,238.999999999999,Municipality
02387,32,02,1031.0,Municipality
02388,32,02,232.0,Municipality
02389,32,02,645.000000000001,Municipality
02390,32,02,271.0,Municipality
02391,32,02,204.999999999999,Municipality
02392,32,02,299.0,Municipality
02393,32,02,144.0,Municipality
02395,32,02,146.0,Municipality
02396,32,02,64.0,Municipality
02397,32,02,1260.0,Municipality
02398,32,02,277.0,Municipality
02399,32,02,599.0,Municipality
02400,32,02,149.0,Municipality
02401,32,02,196.000000000001,Municipality
02402,32,02,37.0,Municipality
02403,32,02,269.000000000001,Municipality
02404,32,02,187.0,Municipality
02405,32,02,541.0,Municipality
02406,32,02,137.0,Municipality
02407,32,02,181.999999999999,Municipality
02408,32,02,24876.0,Municipality
02409,32,02,268.0,Municipality
02410,32,02,244.0,Municipality
02411,32,02,208.0,Municipality
02412,32,02,99.0,Municipality
02413,32,02,250.0,Municipality
02414,32,02,202.0,Municipality
02415,32,02,159.0,Municipality
02416,32,02,429.999999999999,Municipality
02417,32,02,100.0,Municipality
02418,32,02,213.0,Municipality
02419,32,02,270.000000000001,Municipality
02420,32,02,832.0,Municipality
02421,32,02,102.0,Municipality
02422,32,02,810.0,Municipality
02423,32,02,420.0,Municipality
02424,32,02,106.0,Municipality
02425,32,02,173.0,Municipality
02426,32,02,545.0,Municipality
02427,32,02,140.999999999999,Municipality
